id,name,age,signup_date,email,purchase_amount,membership_level,phone
891,Bob,34,2020/12/31,bob at example dot com,120.5,Silver,345‑6789
892,David,35,05-02-2021,david at example dot com,,gold,345‑6789
893,Alice,38,2021-06-10,alice at example dot com,200,Silver,345‑6789
894,Eve,53,2020/12/31,eve@example,0,Gold,123‑4567
895,Ivan,48,05-02-2021,ivan at example dot com,75.5,silver,4567890
896,Alice,57,2021/03/15,alice@example.com,20,gold,2345678
897,Ivan,19,2021/01/05,ivan at example dot com,75.5,Gold,123‑4567
898,Hannah,44,2021/01/05,hannah@example,75.5,gold,4567890
899,Frank,26,2021-06-10,frank at example dot com,120.5,Platinum,4567890
900,Grace,67,2020/12/31,grace@example.com,120.5,silver,
901,Charlie,51,2021/01/05,charlie@example,300,silver,
902,Alice,45,2020/12/31,alice@example,300,Platinum,2345678
903,Eve,31,2020/12/31,eve@example.com,450.75,silver,2345678
904,Bob,49,2021-06-10,bob@example.com,300,Platinum,2345678
905,Eve,23,2021-06-10,eve@example.com,-50,Gold,123‑4567
906,Hannah,28,2021-06-10,hannah@example.com,,,5678901
907,Ivan,65,2021/01/05,ivan@example.com,-50,gold,2345678
908,Bob,46,2021-06-10,bob@example,-50,Platinum,
909,Charlie,37,2021/01/05,charlie@example,0,gold,5678901
910,Charlie,47,2021-06-10,charlie at example dot com,200,Gold,123‑4567
911,Alice,40,,alice at example dot com,-50,,5678901
912,Hannah,36,2020/12/31,hannah@mail.com,,Gold,345‑6789
913,Frank,53,2021-06-10,frank at example dot com,120.5,silver,5678901
914,Hannah,20,05-02-2021,hannah at example dot com,450.75,gold,2345678
915,Ivan,44,2020/12/31,ivan@example.com,0,,123‑4567
916,Eve,60,2020/12/31,eve@example.com,120.5,silver,2345678
917,Charlie,36,2021-06-10,charlie at example dot com,0,,
918,Eve,40,2021/03/15,eve@mail.com,,silver,345‑6789
919,Eve,66,2021-06-10,eve@example.com,75.5,Gold,
920,Eve,65,2020/12/31,eve at example dot com,20,Platinum,2345678
921,Charlie,67,05-02-2021,charlie at example dot com,200,gold,2345678
922,Jack,48,2020/12/31,jack@example,120.5,Silver,2345678
923,David,57,05-02-2021,david@mail.com,200,Silver,4567890
924,Ivan,52,2021/01/05,ivan@example,75.5,Gold,345‑6789
925,Jack,69,,jack@mail.com,20,gold,2345678
926,Ivan,50,2020/12/31,ivan@example.com,200,gold,2345678
927,Bob,52,2021-06-10,bob@mail.com,200,Gold,
928,Hannah,18,2021/01/05,hannah at example dot com,120.5,gold,
929,Hannah,31,,hannah at example dot com,300,Platinum,2345678
930,Grace,50,2021-06-10,grace@mail.com,20,Gold,123‑4567
931,Hannah,52,2021/03/15,hannah@mail.com,75.5,Platinum,4567890
932,Charlie,22,2021-06-10,charlie@mail.com,20,gold,
933,Frank,55,05-02-2021,frank@example,,Gold,123‑4567
934,Alice,58,05-02-2021,alice@mail.com,300,gold,4567890
935,Grace,67,2021/03/15,grace@example.com,,Gold,2345678
936,Alice,67,2021/01/05,alice@example,75.5,gold,345‑6789
937,Ivan,28,,ivan@example,120.5,Platinum,5678901
938,Alice,19,2021-06-10,alice@mail.com,120.5,Platinum,5678901
939,Alice,61,05-02-2021,alice@example.com,75.5,gold,2345678
940,Grace,34,2021/01/05,grace@example,0,Gold,
941,Bob,56,2021/03/15,bob at example dot com,75.5,Silver,123‑4567
942,Eve,37,2020/12/31,eve@example,300,Platinum,345‑6789
943,Hannah,31,05-02-2021,hannah@mail.com,-50,Platinum,4567890
944,Hannah,49,2021/03/15,hannah@example.com,120.5,silver,2345678
945,Charlie,51,2021-06-10,charlie@mail.com,450.75,Silver,345‑6789
946,Grace,42,,grace at example dot com,300,gold,345‑6789
947,Charlie,24,05-02-2021,charlie at example dot com,300,Gold,
948,Frank,52,05-02-2021,frank at example dot com,300,silver,4567890
949,Frank,64,2021-06-10,frank@mail.com,200,gold,345‑6789
950,Charlie,46,2020/12/31,charlie@example,300,,
951,Grace,39,2021/01/05,grace@mail.com,120.5,Platinum,123‑4567
952,Charlie,58,,charlie@example.com,-50,,
953,Hannah,60,05-02-2021,hannah@example,-50,Platinum,123‑4567
954,Jack,30,,jack at example dot com,300,Platinum,123‑4567
955,David,30,05-02-2021,david@mail.com,,,345‑6789
956,Alice,18,,alice at example dot com,120.5,,
957,David,53,2021/03/15,david at example dot com,120.5,gold,123‑4567
958,Grace,21,05-02-2021,grace@example.com,20,silver,4567890
959,David,54,,david@example,0,silver,345‑6789
960,Frank,61,2021/01/05,frank@example.com,0,,
961,Ivan,57,2021/03/15,ivan@example.com,,gold,
962,Alice,63,2021/03/15,alice@example.com,0,silver,5678901
963,Eve,30,2021/01/05,eve at example dot com,20,gold,
964,Grace,55,,grace@example.com,75.5,gold,345‑6789
965,Alice,41,2021-06-10,alice@example.com,0,Platinum,4567890
966,David,36,2021/01/05,david@example,120.5,silver,
967,Frank,18,,frank@example,75.5,silver,5678901
968,Bob,55,2021/01/05,bob@example.com,0,Platinum,345‑6789
969,Jack,22,2021/01/05,jack@example,120.5,,123‑4567
970,Eve,33,05-02-2021,eve@example,120.5,Platinum,2345678
971,Jack,41,,jack@example.com,300,silver,2345678
972,Alice,44,2021-06-10,alice at example dot com,-50,silver,123‑4567
973,Frank,18,05-02-2021,frank@example.com,,,
974,Frank,51,2021/01/05,frank@example,20,Platinum,2345678
975,David,53,2020/12/31,david at example dot com,200,Gold,2345678
976,Hannah,21,2021/01/05,hannah@mail.com,0,Gold,123‑4567
977,David,,2021/01/05,david at example dot com,0,,
978,Hannah,56,,hannah@example,75.5,Platinum,
979,Hannah,28,,hannah at example dot com,75.5,Platinum,123‑4567
980,Eve,52,05-02-2021,eve@example.com,0,gold,
981,David,61,2021-06-10,david@mail.com,450.75,silver,
982,Bob,39,05-02-2021,bob@mail.com,20,Silver,345‑6789
983,Charlie,63,2021/03/15,charlie@mail.com,0,,345‑6789
984,Charlie,47,2021/01/05,charlie@example,-50,Silver,123‑4567
985,David,27,2020/12/31,david@example,450.75,Silver,4567890
986,David,26,2021/01/05,david@mail.com,20,,2345678
987,Jack,19,2021/01/05,jack at example dot com,0,Platinum,345‑6789
988,Eve,30,05-02-2021,eve@mail.com,200,,2345678
989,David,32,2020/12/31,david at example dot com,300,Silver,5678901
990,Jack,26,2020/12/31,jack at example dot com,-50,silver,123‑4567
991,Hannah,45,2020/12/31,hannah@example,200,silver,4567890
992,Frank,26,05-02-2021,frank at example dot com,75.5,silver,5678901
993,Frank,28,2021/01/05,frank@mail.com,75.5,Platinum,5678901
994,Hannah,46,05-02-2021,hannah@example,0,Gold,
995,Grace,57,,grace@example.com,75.5,,5678901
996,Jack,,,jack@example.com,-50,silver,123‑4567
997,Jack,21,05-02-2021,jack@example,20,,345‑6789
998,Hannah,36,2020/12/31,hannah@mail.com,120.5,silver,123‑4567
999,Bob,24,2021/01/05,bob@example.com,,Platinum,345‑6789
1000,Ivan,59,05-02-2021,ivan@example.com,20,Gold,5678901
